name,dec_date,sunspots,definite,ones
1818-01-08,1818.023,39.0,1,15.0
1818-01-13,1818.037,22.0,1,
1818-01-17,1818.0479999999998,46.0,1,
1818-01-25,1818.07,15.0,1,
1818-01-28,1818.078,23.0,1,
1818-01-29,1818.0810000000001,12.0,1,
1818-02-03,1818.094,10.0,1,
1818-02-05,1818.1,12.0,1,
1818-02-06,1818.1029999999998,15.0,1,
1818-02-09,1818.111,52.0,1,
1818-02-14,1818.125,44.0,1,
1818-02-15,1818.1270000000002,49.0,1,
1818-02-16,1818.13,17.0,1,
1818-02-19,1818.138,0.0,1,
1818-02-21,1818.144,0.0,1,
1818-02-23,1818.149,0.0,1,
1818-02-25,1818.155,0.0,1,
1818-02-26,1818.1570000000002,0.0,1,
1818-02-27,1818.16,0.0,1,
1818-03-06,1818.1789999999999,17.0,1,
1818-03-10,1818.19,29.0,1,
1818-03-14,1818.201,19.0,1,
1818-03-15,1818.204,15.0,1,
1818-03-16,1818.207,28.0,1,
1818-03-18,1818.2120000000002,26.0,1,
1818-03-19,1818.215,0.0,1,
1818-03-20,1818.2179999999998,0.0,1,
1818-03-21,1818.22,51.0,1,
1818-03-23,1818.226,31.0,1,
1818-03-24,1818.229,48.0,1,
1818-03-27,1818.237,34.0,1,
1818-03-28,1818.24,29.0,1,
1818-03-29,1818.2420000000002,29.0,1,
1818-04-04,1818.259,11.0,1,
1818-04-05,1818.261,33.0,1,
1818-04-06,1818.264,23.0,1,
1818-04-08,1818.27,23.0,1,
1818-04-09,1818.2720000000002,36.0,1,
1818-04-10,1818.275,37.0,1,
1818-04-11,1818.2779999999998,40.0,1,
1818-04-12,1818.281,31.0,1,
1818-04-13,1818.283,26.0,1,
1818-04-14,1818.286,28.0,1,
1818-04-15,1818.289,41.0,1,
1818-04-16,1818.2920000000001,49.0,1,
1818-04-18,1818.297,39.0,1,
1818-04-19,1818.3,32.0,1,
1818-04-24,1818.3129999999999,17.0,1,
1818-04-25,1818.316,26.0,1,
1818-04-26,1818.319,52.0,1,
1818-04-28,1818.3239999999998,49.0,1,
1818-04-29,1818.3270000000002,39.0,1,
1818-04-30,1818.33,38.0,1,
1818-05-01,1818.3329999999999,38.0,1,
1818-05-02,1818.335,44.0,1,
1818-05-03,1818.338,52.0,1,
1818-05-05,1818.344,12.0,1,
1818-05-06,1818.346,43.0,1,
1818-05-08,1818.352,24.0,1,
1818-05-09,1818.354,36.0,1,
1818-05-10,1818.3570000000002,37.0,1,
1818-05-11,1818.36,28.0,1,
1818-05-12,1818.3629999999998,30.0,1,
1818-05-13,1818.365,32.0,1,
1818-05-14,1818.368,33.0,1,
1818-05-15,1818.371,45.0,1,
1818-05-20,1818.385,44.0,1,
1818-05-22,1818.39,32.0,1,
1818-05-23,1818.3929999999998,47.0,1,
1818-05-24,1818.396,40.0,1,
1818-06-03,1818.4229999999998,51.0,1,
1818-06-04,1818.4260000000002,52.0,1,
1818-06-05,1818.4279999999999,32.0,1,
1818-06-06,1818.431,25.0,1,
1818-06-07,1818.434,10.0,1,
1818-06-08,1818.4370000000001,21.0,1,
1818-06-09,1818.4389999999999,20.0,1,
